"15"	54

"15"	63

"4"	64

"13"	61

"2"	57

"8"	50

"0"	72

"6"	68

"2"	66

"3"	59

"5"	61

"15"	65

"4"	61

"14"	45

"4"	67

"0"	66

"2"	59

"6"	45

"12"	66

"8"	67

"1"	67

"11"	54

"5"	67

"0"	59

"5"	63

"7"	61

"14"	64

"2"	60

"14"	53

"4"	44

"14"	56

"6"	53

"14"	51

"3"	50

"18"	72

"7"	58

"9"	52

"8"	56

"9"	53

"18"	67

"14"	74

"8"	50

"0"	69

"9"	47

"4"	61

"3"	65

"3"	58

"5"	69

"5"	49

"7"	48

"5"	50

"7"	73

"11"	71

"1"	64

"18"	62

"7"	69

"4"	62

"1"	54

"10"	43

"14"	64

"10"	75

"4"	77

"5"	64

"9"	46

"14"	56

"16"	55

"1"	70

"0"	78

"1"	62

"16"	58

"17"	55

"0"	55

"16"	74

"13"	63

"14"	60

"8"	59

"4"	54

"8"	67

"1"	54

"6"	59

"15"	54

"5"	51

"14"	51

"17"	62

"8"	62

"8"	67

"16"	74

"0"	51

"16"	55

"9"	75

"17"	69

"17"	76

"13"	50

"15"	61

"14"	61

"3"	50

"7"	60

"18"	71

"15"	66

"10"	48

"13"	60

"18"	60

"2"	51

"16"	62

"16"	48

"3"	78

"15"	61

"6"	64

"10"	64

"11"	51

"2"	58

"13"	69

"1"	63

"16"	58

"17"	65

"1"	55

"3"	59

"7"	59

"8"	53

"10"	66

"2"	61

"7"	60

"5"	68

"13"	70

"1"	60

"3"	65

"15"	43

"6"	57

"3"	70

"17"	66

"7"	54

"13"	52

"0"	69

"0"	70

"0"	51

"15"	49

"12"	59

"1"	54

"7"	58

"7"	65

"0"	54

"12"	72

"10"	70

"8"	66

"2"	60

"7"	60

"18"	60

"2"	64

"10"	60

"13"	65

"6"	75

"0"	62

"12"	68

"13"	66

"3"	56

"18"	69

"10"	82

"15"	50

"18"	52

"6"	51

"13"	46

"7"	62

"5"	54

"8"	68

"2"	47

"4"	55

"16"	57

"9"	72

"8"	61

"11"	53

"10"	49

"15"	63

"10"	65

"10"	78

"10"	68

"18"	71

"18"	56

"13"	55

"18"	60

"1"	51

"0"	46

"8"	59

"18"	57

"14"	58

"2"	53

"13"	56

"15"	72

"12"	58

"5"	54

"12"	60

"16"	59

"6"	75

"14"	58

"3"	47

"5"	60

"5"	52

"16"	63

"5"	66

"11"	58

"0"	58

"8"	53

"6"	60

"10"	54

"8"	69

"5"	55

"11"	63

"9"	54

"13"	75

"2"	68

"18"	71

"4"	56

"16"	52

"8"	62

"16"	49

"10"	73

"10"	62

"7"	46

"0"	62

"6"	58

"7"	56

"17"	65

"15"	62

"3"	55

"13"	52

"4"	48

"0"	54

"8"	53

"18"	53

"13"	74

"12"	79

"5"	43

"16"	52

